sa3_code,sa3_name,is_metro,pop_65plus,pop_85plus,pct_85plus_of_65plus,chsp_recipients,residential_total,home_per_100_65plus,resid_per_100_65plus,resid_per_100_85plus,low_base
11902,Canterbury,True,21800.0,3423.0,15.7,3783.0,866.0,17.35,3.97,25.3,False
11903,Hurstville,True,24832.0,3762.0,15.15,4062.0,1243.0,16.36,5.01,33.04,False
11904,Kogarah - Rockdale,True,24180.0,3809.0,15.75,3964.0,1373.0,16.39,5.68,36.05,False
12001,Canada Bay,True,15746.0,2321.0,14.74,2200.0,672.0,13.97,4.27,28.95,False
12002,Leichhardt,True,8597.0,944.0,10.98,1096.0,332.0,12.75,3.86,35.17,False
12003,Strathfield - Burwood - Ashfield,True,23868.0,4118.0,17.25,3669.0,1425.0,15.37,5.97,34.6,False
12101,Chatswood - Lane Cove,True,18720.0,2787.0,14.89,2633.0,837.0,14.07,4.47,30.03,False
12102,Hornsby,True,14592.0,1911.0,13.1,2053.0,868.0,14.07,5.95,45.42,False
12103,Ku-ring-gai,True,24800.0,4287.0,17.29,3343.0,1461.0,13.48,5.89,34.08,False
12104,North Sydney - Mosman,True,18670.0,2572.0,13.78,2229.0,504.0,11.94,2.7,19.6,False
12201,Manly,True,7087.0,993.0,14.01,828.0,166.0,11.68,2.34,16.72,False
12202,Pittwater,True,14895.0,2001.0,13.43,1840.0,598.0,12.35,4.01,29.89,False
12203,Warringah,True,27236.0,4638.0,17.03,4376.0,1384.0,16.07,5.08,29.84,False
12301,Camden,True,9414.0,1011.0,10.74,1493.0,527.0,15.86,5.6,52.13,False
12302,Campbelltown (NSW),True,25790.0,2305.0,8.94,3937.0,1282.0,15.27,4.97,55.62,False
12303,Wollondilly,True,8079.0,854.0,10.57,1182.0,260.0,14.63,3.22,30.44,False
12401,Blue Mountains,True,18347.0,1809.0,9.86,2949.0,650.0,16.07,3.54,35.93,False
12402,Blue Mountains - South,True,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
12403,Penrith,True,22519.0,2343.0,10.4,3779.0,1000.0,16.78,4.44,42.68,False
12404,Richmond - Windsor,True,6596.0,915.0,13.87,1187.0,378.0,18.0,5.73,41.31,False
12405,St Marys,True,8003.0,676.0,8.45,1240.0,234.0,15.49,2.92,34.62,False
12501,Auburn,True,11715.0,1220.0,10.41,1340.0,382.0,11.44,3.26,31.31,False
12502,Carlingford,True,12266.0,1641.0,13.38,1638.0,207.0,13.35,1.69,12.61,False
12503,Merrylands - Guildford,True,22930.0,2875.0,12.54,3735.0,1041.0,16.29,4.54,36.21,False
12504,Parramatta,True,19086.0,2431.0,12.74,3175.0,1484.0,16.64,7.78,61.04,False
12601,Pennant Hills - Epping,True,9464.0,1362.0,14.39,1237.0,282.0,13.07,2.98,20.7,False
12602,Ryde - Hunters Hill,True,24519.0,4062.0,16.57,3780.0,1464.0,15.42,5.97,36.04,False
12701,Bringelly - Green Valley,True,16461.0,1506.0,9.15,1811.0,456.0,11.0,2.77,30.28,False
12702,Fairfield,True,35541.0,4201.0,11.82,3591.0,1312.0,10.1,3.69,31.23,False
12703,Liverpool,True,17922.0,2056.0,11.47,2155.0,592.0,12.02,3.3,28.79,False
12801,Cronulla - Miranda - Caringbah,True,24905.0,4077.0,16.37,4454.0,1187.0,17.88,4.77,29.11,False
12802,Sutherland - Menai - Heathcote,True,20535.0,2628.0,12.8,3589.0,1306.0,17.48,6.36,49.7,False
20101,Ballarat,False,23245.0,2927.0,12.59,4868.0,1157.0,20.94,4.98,39.53,False
20102,Creswick - Daylesford - Ballan,False,7975.0,720.0,9.03,1359.0,281.0,17.04,3.52,39.03,False
20103,Maryborough - Pyrenees,False,7886.0,819.0,10.39,1699.0,266.0,21.54,3.37,32.48,False
20201,Bendigo,False,21268.0,2805.0,13.19,4290.0,1134.0,20.17,5.33,40.43,False
